SUPP_CODE,SUPP_NAME,BRAND_CODE,BRAND_COD2,BRAND_LINE,LINES,BRANDGROUP,GROUP,MAINGROUP,IB,TGT_QTR1,TGT_QTR2,TGT_QTR3,TGT_QTR4,TRG_TOT,SUP_TRG,RGROUP,TGROUP,RANKGRP,LINEFLAG,PRODUCT,GROUPLINES,BR_LINES,BR_CLASS,ITSUB_TYPE
16-120,PARFUMS CHRISTIAN DIOR,0361,0361,DIOR SNOW-WHITENING,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,231000,231000,DIOR-SNOW WHITENING,FACE SKINCARE,SKINCARE,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0362,0362,BODY PRESTIGE,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,BODY PRESTIGE,BODY CARE,SKINCARE,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0363,0363,MODEL BODY,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,MODEL BODY,BODY CARE,SKINCARE,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0364,0364,BIKINI BODY,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,BIKINI/PLASTICITY,BODY CARE,SKINCARE,0,,,,,
16-120D,CHRISTIAN DIOR DISCONTINUED ITEMS,0364,0364,BIKINI BODI,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,BIKINI,BODY CARE,SKINCARE,0,,,,,
16-120,PARFUMS CHRISTIAN DIOR,0370,0370,DIORSKIN,,,C'DIOR,CHRISTIAN DIOR,0,0,0,0,0,0,0,PROMOTION,PROMOTION,MAKEUP,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0074,0074,DOLCE VITA,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0080,0080,EAU DE DIOR,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0100,0100,MISS DIOR,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0101,0101,DIORISSIMO,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0102,0102,DIORELLA,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0104,0104,POISON,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0105,0105,DUNE,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0106,0106,TENDRE POISON,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0107,0107,DOLCE VITA,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0108,0108,DUNE - MENS,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0109,0109,HYPNOTIC POISON,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
16-120A,CHRISTIAN DIOR PROMOTIONAL ITEMS,0110,0110,J'ADORE,,,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,0,0,0,0,PROMOTION,PROMOTION,,0,,,,,
