LOCATION,TYPE,DTE,VOUNO,SUPP_CUSTM,TOTAMOUNT,DISCOUNT,DISC_ADDED,OTHER_CHRG,ORDER_REF,LC_NO,INVNO,EXCH_RATE,LND_RATE,CREDITCODE,SALES_MAN,SPARE,STVDESTIN,ORDTYPE,ORDER_REF2,ENTRYDTE,CLIENT,CARD,ORDER_REF3,ADDRESS,TEL
14,2,1/17/2018,18120043,17-449,245,20,0,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/17/2018,18120044,17-449,173,0,0,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/17/2018,18120045,17-449,396,20,0.8,0,,,,0,0,1,,,2,1,,,,,,,
14,3,1/16/2018,18130006,,168,0,0,0,,,,0,0,1,,,2,1,,,,,,,
14,3,1/17/2018,18130007,,313,20,0.4,0,,,,0,0,1,,,2,1,,,,,,,
14,4,1/14/2018,18140006,17-449,1500,20,0,0,,,,0,0,1,,,2,1,,,,,,,
14,4,1/14/2018,18140007,17-449,1500,20,0,0,,,,0,0,1,,,2,1,,,,,,,
6,2,1/2/2018,18120001,17-452,1125,20,0,0,,,,0,0,1,,,2,1,,,,,,,
6,2,1/6/2018,18120002,17-452,332,20,0.6,0,,,,0,0,1,,,2,1,,,,,,,
6,2,1/6/2018,18120003,17-452,659,0,0,0,,,,0,0,1,,,2,1,,,,,,,
6,2,1/8/2018,18120004,17-452,332,15,0.2,0,,,,0,0,1,,,2,1,,,,,,,
6,2,1/8/2018,18120005,17-452,332,20,0.6,0,,,,0,0,1,,,2,1,,,,,,,
6,2,1/11/2018,18120006,17-452,238,20,0.4,0,,,,0,0,1,,,2,1,,,,,,,
6,2,1/11/2018,18120007,17-452,246,20,0.8,0,,,,0,0,1,,,2,1,,,,,,,
6,2,1/13/2018,18120008,17-452,250,20,0,0,,,,0,0,1,,,2,1,,,,,,,
6,2,1/13/2018,18120009,17-452,2100,20,0,0,,,,0,0,1,,,2,1,,,,,,,
6,2,1/14/2018,18120010,17-452,168,10,0.2,0,,,,0,0,1,,,2,1,,,,,,,
6,3,1/7/2018,18130001,,704,20,0.2,0,,,,0,0,1,,,2,1,,,,,,,
6,3,1/10/2018,18130002,,540,20,0,0,,,,0,0,1,,,2,1,,,,,,,
6,3,1/12/2018,18130003,,730,20,0,0,,,,0,0,1,,,2,1,,,,,,,
6,3,1/13/2018,18130004,,1175,20,0,0,,,,0,0,1,,,2,1,,,,,,,
6,3,1/15/2018,18130005,,198,20,0.4,0,,,,0,0,1,,,2,1,,,,,,,
6,4,1/12/2018,18140001,17-452,168,20,0.4,0,,,,0,0,1,,,2,1,,,,,,,
8,5,1/21/2018,21810047,,307,0,0,0,,,,0,0,5,,,14,1,,,,,,,
19,3,1/20/2018,18130001,,4882,0,0,0,,,18130001,0,0,1,,,2,1,,,,,,,
19,3,1/20/2018,18130002,,902,0,0,0,,,18130002,0,0,1,,,2,1,,,,,,,
19,3,1/20/2018,18130003,,1467,0,0,0,,,18130003,0,0,1,,,2,1,,,,,,,
19,3,1/20/2018,18130004,,804,0,0,0,,,18130004,0,0,1,,,2,1,,,,,,,
22,2,1/16/2018,18120039,17-4491,200,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/16/2018,18120040,17-4491,512,20,0.6,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/17/2018,18120041,17-4491,337,20,0.6,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/17/2018,18120042,17-4491,1050,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/17/2018,18120043,17-4491,238,20,0.4,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/17/2018,18120044,17-4491,856,20,0.8,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/18/2018,18120045,17-4491,540,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/18/2018,18120046,17-4491,365,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/18/2018,18120047,17-4491,1050,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/18/2018,18120048,17-4491,288,20,0.4,0,,,,0,0,1,,,2,1,,,,,,,
22,3,1/16/2018,18130018,,365,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,3,1/16/2018,18130019,,278,20,0.4,0,,,,0,0,1,,,2,1,,,,,,,
22,3,1/16/2018,18130020,,560,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,3,1/18/2018,18130021,,533,20,0.4,0,,,,0,0,1,,,2,1,,,,,,,
8,3,1/17/2018,18130005,,160,15,0,0,,,,0,0,1,,,2,1,,,,,,,
16,3,1/21/2018,18130008,,1337,0,0,0,,,JAN/15/18,0,0,1,,,2,1,,,,,,,
16,3,1/21/2018,18130009,,445,0,0,0,,,JAN/17/18,0,0,1,,,2,1,,,,,,,
16,3,1/21/2018,18130010,,901,0,0,0,,,JAN/18/18,0,0,1,,,2,1,,,,,,,
16,3,1/21/2018,18130011,,529,0,0,0,,,JAN/20/18,0,0,1,,,2,1,,,,,,,
22,5,1/22/2018,21810048,,8410,0,0,0,,,,0,0,5,,,6,1,,,,,,,
1,6,1/22/2018,802784,25-120,604.833,0,0,0,,,,0,0,5,,,2,1,,,,,,,
6,5,1/23/2018,21810049,,1080,0,0,0,,,,0,0,5,,,22,1,,,,,,,
1,2,1/24/2018,21810002,30-551,0,0,0,0,,,Y,0,0,5,,,2,1,,,,,,,
1,2,1/24/2018,21810003,30-551,0,0,0,0,,,y,0,0,5,,,2,1,,,,,,,
1,5,1/24/2018,21810050,,11517,0,0,0,,,,0,0,5,,,14,1,,,,,,,
1,5,1/24/2018,21810051,,8250,0,0,0,,,,0,0,5,,,22,1,,,,,,,
1,5,1/24/2018,21810052,,17274,0,0,0,,,,0,0,5,,,22,1,,,,,,,
1,5,1/24/2018,21810053,,3368,0,0,0,,,,0,0,5,,,22,1,,,,,,,
1,5,1/24/2018,21810054,,4200,0,0,0,,,,0,0,5,,,6,1,,,,,,,
16,5,1/25/2018,21810055,,20417,0,0,0,,,,0,0,5,,,1,1,,,,,,,
16,5,1/25/2018,21810056,,5907,0,0,0,,,,0,0,5,,,1,1,,,,,,,
16,5,1/25/2018,21810057,,2544,0,0,0,,,,0,0,5,,,1,1,,,,,,,
1,5,1/25/2018,21810058,,813,0,0,0,,,,0,0,5,,,14,1,,,,,,,
1,5,1/25/2018,21810059,,1972,0,0,0,,,,0,0,5,,,6,1,,,,,,,
1,5,1/25/2018,21810060,,7545,0,0,0,,,,0,0,5,,,19,1,,,,,,,
1,5,1/25/2018,21810061,,0,0,0,0,,,,0,0,5,,,14,1,,,,,,,
1,5,1/25/2018,21810062,,0,0,0,0,,,,0,0,5,,,22,1,,,,,,,
1,5,1/25/2018,21810063,,0,0,0,0,,,,0,0,5,,,6,1,,,,,,,
