LOCATION,TYPE,DTE,VOUNO,REF_NO,PRICE_COST,QTY,UNITS,CATAGORY,DFLAG,AV_COST,WS_COST,RT_COST,SALE_COST,SUP_CUS,SUPP_CODE,BRAND_CODE,REF_NO2,ENTRYDTE,SALEMAN
1,5,1/14/2018,21810017,CD-028506152,112,3,1,,,71.327,112,112,0,STKTR8,16-120,0230,SECTION S,,
1,5,1/14/2018,21810017,CD-002756448,139,3,1,,,86.151,139,139,0,STKTR8,16-120,0243,SECTION S,,
1,5,1/14/2018,21810017,CD-002712255,143,3,1,,,85.383,143,143,0,STKTR8,16-120,0243,SECTION S,,
1,5,1/14/2018,21810017,CD-002712355,143,2,1,,,85.383,143,143,0,STKTR8,16-120,0243,SECTION S,,
1,5,1/14/2018,21810017,CD-092352001,291,1,1,,,188.967,291,291,0,STKTR8,16-120,0270,SECTION S,,
1,5,1/14/2018,21810017,CD-014845224,223,1,1,,,147.17,223,223,0,STKTR8,16-120,0200,SECTION S,,
1,5,1/14/2018,21810017,CD-071935003,195,2,1,,,124.717,195,195,0,STKTR8,16-120,0366,SECTION S,,
1,5,1/14/2018,21810017,CD-028506224,112,3,1,,,74.108,112,112,0,STKTR8,16-120,0250,SECTION S,,
1,5,1/14/2018,21810017,CD-028506464,112,2,1,,,74.35,112,112,0,STKTR8,16-120,0250,SECTION S,,
1,5,1/14/2018,21810017,CD-028506542,112,3,1,,,74.108,112,112,0,STKTR8,16-120,0250,SECTION S,,
1,5,1/14/2018,21810017,CD-015625551,183,3,1,,,117.93,183,183,0,STKTR8,16-120,0200,SECTION S,,
1,5,1/14/2018,21810017,CD-015625651,183,3,1,,,117.939,183,183,0,STKTR8,16-120,0200,SECTION S,,
1,5,1/14/2018,21810017,CD-014809308,231,3,1,,,144.379,231,231,0,STKTR8,16-120,0200,SECTION S,,
1,5,1/14/2018,21810017,CD-002860816,135,4,1,,,81.656,135,135,0,STKTR8,16-120,0250,SECTION S,,
1,5,1/14/2018,21810017,CD-002860962,135,3,1,,,81.656,135,135,0,STKTR8,16-120,0250,SECTION S,,
1,5,1/14/2018,21810017,CD-000294605,100,3,1,,,63.137,100,100,0,STKTR8,16-120,0231,SECTION S,,
1,5,1/14/2018,21810017,CD-000294615,100,3,1,,,63.189,100,100,0,STKTR8,16-120,0231,SECTION S,,
1,5,1/14/2018,21810017,CD-002296001,136,1,1,,,89.782,136,136,0,STKTR8,16-120,0231,SECTION S,,
1,5,1/14/2018,21810017,CD-092353001,283,3,1,,,190.928,283,283,0,STKTR8,16-120,0212,SECTION S,,
1,5,1/14/2018,21810018,CD-092353002,283,3,1,,,190.94,283,283,0,STKTR8,16-120,0212,SECTION S,,
1,5,1/14/2018,21810018,CD-077525548,95,3,1,,,60.555,95,95,0,STKTR8,16-120,0200,SECTION S,,
1,5,1/14/2018,21810018,CD-072015431,193,3,1,,,122.736,193,193,0,STKTR8,16-120,0211,SECTION S,,
1,5,1/14/2018,21810018,CD-028506424,112,3,1,,,75.151,112,112,0,STKTR8,16-120,0249,SECTION S,,
1,5,1/14/2018,21810018,CD-028506774,112,3,1,,,75.151,112,112,0,STKTR8,16-120,0249,SECTION S,,
1,5,1/14/2018,21810018,CD-002760039,152,4,1,,,87.077,152,152,0,STKTR8,16-120,0225,SECTION S,,
1,5,1/14/2018,21810018,CD-000298207,110,1,1,,,71.396,110,110,0,STKTR8,16-120,0231,SECTION S,,
1,5,1/14/2018,21810018,CD-000298901,110,2,1,,,71.396,110,110,0,STKTR8,16-120,0231,SECTION S,,
1,5,1/14/2018,21810018,CD-092354001,344,1,1,,,232.54,344,344,0,STKTR8,16-120,0201,SECTION S,,
8,5,1/15/2018,21810019,CD-002760039,152,4,1,,,87.077,152,152,0,STKTR1,16-120,0225,SECTION S,,
1,5,1/15/2018,21810020,CCP-084028009,1500,1,1,,,804.435,1500,1500,0,STKTR22,16-1203,0387,SECTION S,,
